crop_name	adm_id	crop_area	crop_area_percentage
maize	IN-12-0191	58.6	2.256
maize	IN-12-0217	355.6	8.055
maize	IN-14-2040	10.6	0.383
maize	IN-12-0190	200.6	7.317
maize	IN-08-0723	34.7	0.636
maize	IN-01-0050	141.8	1.074
maize	IN-19-0663	0.6	0.023
maize	IN-12-0203	157.2	4.178
maize	IN-01-0504	444.6	2.524
maize	IN-12-0235	191.9	5.172
maize	IN-08-0711	1.5	0.042
maize	IN-12-0227	661.2	16.838
maize	IN-14-0005	5.8	0.082
maize	IN-14-0003	13	0.446
maize	IN-08-0712	2.1	0.031
maize	IN-12-2031	47.2	1.942
maize	IN-12-1045	35.9	2.185
maize	IN-12-0532	33.5	1.157
maize	IN-12-0529	205.2	2.979
maize	IN-01-0044	45.8	0.783
maize	IN-08-0732	3.3	0.138
maize	IN-14-2041	0.5	0.009
maize	IN-12-0234	74.1	2.774
maize	IN-08-0713	0.1	0.001
maize	IN-14-0006	22.4	0.559
maize	IN-19-0661	0.2	0.01
maize	IN-12-0226	614.7	13.462
maize	IN-12-0216	54.2	3.538
maize	IN-01-0045	2.8	0.024
maize	IN-01-0503	63.1	1.025
maize	IN-19-0664	0	0
maize	IN-01-0047	261	3.138
maize	IN-08-0728	5.9	0.189
maize	IN-12-0210	990.6	18.11
maize	IN-09-0166	7.2	0.269
maize	IN-09-0174	149	4.412
maize	IN-13-0823	0.2	0.004
maize	IN-09-0173	60.7	4.157
maize	IN-09-0172	103.8	4.38
maize	IN-13-0810	1.9	0.061
maize	IN-09-0168	6.1	0.231
maize	IN-12-0531	3.9	0.132
maize	IN-09-1019	112	4.981
maize	IN-13-0803	2	0.051
maize	IN-09-1017	8.9	0.708
maize	IN-13-0802	0.1	0.003
maize	IN-13-0824	0.5	0.009
maize	IN-13-0817	0	0
maize	IN-13-0801	0	0
maize	IN-17-2018	0	0.002
maize	IN-17-0615	5.4	0.235
maize	IN-17-0622	4.6	0.088
maize	IN-17-1047	5.5	0.494
maize	IN-17-0601	0.4	0.011
maize	IN-17-0610	0.8	0.031
maize	IN-17-2019	0.2	0.013
maize	IN-17-0602	17.1	1.081
maize	IN-17-1048	2.1	0.083
maize	IN-17-0616	3.5	0.158
maize	IN-17-0603	1	0.03
maize	IN-17-0604	0.2	0.012
maize	IN-17-0617	1.7	0.052
maize	IN-17-1049	0	0.003
maize	IN-17-0609	0.7	0.017
maize	IN-17-0618	0.8	0.024
maize	IN-17-2028	0	0.002
maize	IN-17-0605	0.2	0.006
maize	IN-17-0606	0.2	0.003
maize	IN-17-0619	0.1	0.008
maize	IN-17-0620	1.2	0.039
maize	IN-17-0607	0.7	0.024
maize	IN-17-1050	8.6	0.572
maize	IN-17-0621	0.1	0.008
maize	IN-17-1051	2.5	0.066
maize	IN-17-2017	3.4	0.168
maize	IN-17-0608	1	0.013
maize	IN-03-2056	169.9	3.411
maize	IN-03-1001	308.1	9.702
maize	IN-03-2053	25	0.601
maize	IN-03-0129	105.7	1.786
maize	IN-03-0132	194.1	0.477
maize	IN-03-0126	134.9	1.991
maize	IN-03-1004	6.5	0.295
maize	IN-03-0127	12.2	0.414
maize	IN-12-0196	414.4	10.224
maize	IN-19-0651	1.4	0.1
maize	IN-16-0238	2.9	0.092
maize	IN-03-2050	845.9	26.846
maize	IN-05-1010	209.1	3.193
maize	IN-16-1032	3	0.136
maize	IN-12-1033	26.6	2.007
maize	IN-08-0701	1.4	0.038
maize	IN-05-0073	463.3	5.475
maize	IN-14-2034	2.7	0.081
maize	IN-14-2036	20.1	0.321
maize	IN-03-0123	614.6	5.701
maize	IN-05-0075	486.4	3.624
maize	IN-14-2037	170	7.6
maize	IN-05-0077	135.7	2.489
maize	IN-14-2014	2.9	0.032
maize	IN-18-0626	37.6	3.227
maize	IN-15-0953	0.3	0.011
maize	IN-18-0627	5.1	0.079
maize	IN-16-1035	0.4	0.025
maize	IN-15-0952	27.6	0.725
maize	IN-03-2052	127.5	3.691
maize	IN-05-2005	3.3	0.079
maize	IN-05-0072	370.8	4.396
maize	IN-03-1002	336.8	9.254
maize	IN-05-0080	0.2	0.003
maize	IN-03-0128	27.5	1.554
maize	IN-14-1055	0	0.001
maize	IN-05-1012	730.5	12.338
maize	IN-15-0914	0	0
maize	IN-15-0940	17.5	0.706
maize	IN-05-0074	163.8	3.85
maize	IN-15-0910	2.8	0.075
maize	IN-19-0653	0.9	0.03
maize	IN-12-0207	430.4	18.506
maize	IN-05-1013	149.9	3.22
maize	IN-08-0705	6.6	0.078
maize	IN-15-0954	65.2	1.588
maize	IN-14-2038	9.7	0.2
maize	IN-03-2054	404.4	15.293
maize	IN-15-0933	29.2	0.588
maize	IN-15-0937	0	0.002
maize	IN-15-0942	0.3	0.005
maize	IN-18-0628	28.2	2.525
maize	IN-12-2033	34.3	3.071
maize	IN-16-0527	52.7	2.3
maize	IN-05-0069	161.5	2.371
maize	IN-12-1039	105.4	5.911
maize	IN-05-1014	563.7	11.695
maize	IN-15-0913	23.4	0.54
maize	IN-08-0717	1	0.033
maize	IN-15-0962	0	0
maize	IN-08-0731	0	0.002
maize	IN-14-1068	57.4	1.369
maize	IN-05-0079	532	4.855
maize	IN-08-0710	5.7	0.071
maize	IN-18-0629	21	0.367
maize	IN-14-1070	79.9	1.113
maize	IN-19-0662	0.1	0.005
maize	IN-08-0718	0.8	0.032
maize	IN-15-2023	0.1	0.004
maize	IN-05-0082	1.7	0.041
maize	IN-15-0955	35.5	2.169
maize	IN-05-0065	2	0.051
maize	IN-05-1015	92.9	1.668
maize	IN-08-0708	2	0.024
maize	IN-18-0631	0.4	0.007
maize	IN-15-0963	3.7	0.088
maize	IN-15-0941	2.9	0.191
maize	IN-14-1069	47.5	0.999
maize	IN-03-2055	377	15.013
maize	IN-05-0068	8.1	0.163
maize	IN-18-0634	14.2	0.359
maize	IN-16-0237	13.9	0.349
maize	IN-03-1003	14.9	0.528
maize	IN-08-0726	1.1	0.029
maize	IN-15-0957	3.8	0.211
maize	IN-15-0915	110.2	2.491
maize	IN-15-0944	0	0.001
maize	IN-16-0243	1.2	0.023
maize	IN-15-0943	1.1	0.032
maize	IN-14-0501	51.3	0.637
maize	IN-15-2024	0.1	0.01
maize	IN-05-2004	2	0.058
maize	IN-12-0204	22.7	0.96
maize	IN-15-0916	1	0.02
maize	IN-08-0724	24.3	0.331
maize	IN-16-1043	0.5	0.024
maize	IN-12-0189	128.7	3.46
maize	IN-15-0938	29	1.323
maize	IN-15-0964	0.1	0.002
maize	IN-12-2032	118.1	9.343
maize	IN-18-0635	0.3	0.005
maize	IN-05-0070	188.1	2.221
maize	IN-12-1046	6.3	0.328
maize	IN-15-0965	0.1	0.001
maize	IN-18-0636	21.1	0.747
maize	IN-12-0228	131.4	2.291
maize	IN-18-0633	15.2	0.785
maize	IN-03-2001	19.2	0.613
maize	IN-16-0242	0.3	0.008
maize	IN-16-1030	42.6	1.595
maize	IN-05-1016	4.6	0.128
maize	IN-18-0637	18.6	1.205
maize	IN-05-0081	36.5	0.355
maize	IN-03-0125	260.9	6.373
maize	IN-05-0076	196.6	1.874
maize	IN-05-2025	66.6	1.263
maize	IN-03-0122	206	2.815
maize	IN-03-1006	121.2	5.238
maize	IN-03-0135	290.8	3.782
maize	IN-03-0138	223.6	2.435
maize	IN-03-2051	57.6	2.32
maize	IN-03-0131	393	11.415
maize	IN-03-0133	388.9	8.796
maize	IN-03-0518	273.6	13.006
maize	IN-03-1005	212	3.66
maize	IN-20-0063	172.6	4.315
maize	IN-04-0183	16.6	1.096
maize	IN-02-0945	257.3	9.228
maize	IN-02-0961	79.4	12.442
maize	IN-02-0949	53.3	1.763
maize	IN-13-0807	0.2	0.004
maize	IN-13-0805	2.6	0.05
maize	IN-09-2010	42.3	2.976
maize	IN-02-0931	181.7	9.455
maize	IN-02-0948	593.5	17.596
maize	IN-02-0909	504	19.726
maize	IN-04-0179	225.3	6.852
maize	IN-02-0921	544.4	22.769
maize	IN-02-0947	588.6	34.56
maize	IN-16-0240	0.6	0.008
maize	IN-13-0820	2	0.088
maize	IN-02-0903	187	7.432
maize	IN-13-0813	0.4	0.019
maize	IN-09-0546	0.6	0.054
maize	IN-09-2043	63.9	2.223
maize	IN-02-0912	748	15.051
maize	IN-02-0924	2.6	0.129
maize	IN-09-0165	6.1	0.235
maize	IN-04-0180	30.1	2.406
maize	IN-13-0811	0.1	0.005
maize	IN-04-0177	445.8	10.949
maize	IN-09-0169	22.1	0.655
maize	IN-20-0055	0	0.001
maize	IN-13-0812	2.4	0.071
maize	IN-04-1008	49	2.636
maize	IN-04-0181	240.4	8.81
maize	IN-04-0524	69.5	3.058
maize	IN-20-0062	88.5	4.417
maize	IN-04-0184	193.6	7.818
maize	IN-02-0932	645.7	21.129
maize	IN-02-0936	455.1	30.525
maize	IN-20-2107	138.4	2.005
maize	IN-18-0630	0	0
maize	IN-02-0946	28.9	1.499
maize	IN-13-0816	28	0.829
maize	IN-04-0185	5.3	0.313
maize	IN-18-0632	0	0
maize	IN-02-0956	59.1	4.847
maize	IN-09-0171	22.6	0.613
maize	IN-02-0935	677	37.487
maize	IN-02-0929	33	0.942
maize	IN-20-0058	13.7	0.262
maize	IN-04-0182	94.7	4.895
maize	IN-13-0814	135.9	3.789
maize	IN-09-0545	140	6.451
maize	IN-20-2112	49.8	1.344
maize	IN-04-2002	95.3	6.293
maize	IN-09-1018	68.7	2.604
maize	IN-02-0908	87.3	6.191
maize	IN-02-0902	21	0.662
maize	IN-02-0918	192	8.106
maize	IN-20-0059	87	1.207
maize	IN-02-0919	333.1	13.374
maize	IN-20-0056	92.4	2.191
maize	IN-04-2003	81.4	5.985
maize	IN-04-1009	1.7	0.191
maize	IN-04-0525	99.9	7.665
maize	IN-02-0926	14.9	0.285
maize	IN-09-2030	7.3	0.766
maize	IN-09-0176	11.3	0.34
maize	IN-02-0907	145.3	4.548
maize	IN-16-0239	1.4	0.019
maize	IN-20-0520	22.7	0.455
maize	IN-04-0526	34.4	2.217
maize	IN-04-0186	159.9	9.589
maize	IN-02-0922	1504.1	39.048
maize	IN-02-0904	412.6	24.752
maize	IN-02-0930	155	5.797
maize	IN-02-0906	25.2	0.953
maize	IN-09-2011	1.7	0.157
maize	IN-02-0958	39.1	5.762
maize	IN-02-0960	1.5	0.338
maize	IN-04-0178	295	6.909
maize	IN-02-0928	0.2	0.011
maize	IN-02-0923	16.4	0.736
maize	IN-04-0187	251.7	11.546
maize	IN-02-0951	189.3	7.821
maize	IN-09-2009	12.5	0.52
maize	IN-13-0819	39.6	1.263
maize	IN-16-0241	1.1	0.013
maize	IN-02-0927	13.2	0.648
maize	IN-04-0523	24.6	1.429
maize	IN-04-2057	39.5	2.853
maize	IN-13-2063	0.1	0.003
maize	IN-13-2062	0	0.002
maize	IN-20-2108	110.3	4.282
maize	IN-20-2101	39.1	0.863
maize	IN-20-2102	38.1	0.987
maize	IN-20-2103	192.7	5.181
maize	IN-20-2115	110.2	2.938
maize	IN-20-2111	42.9	0.962
maize	IN-20-2109	111.4	1.795
maize	IN-20-2110	14.3	0.653
maize	IN-20-2117	68.8	1.855
maize	IN-20-2116	2.5	0.231
maize	IN-20-2114	21.3	0.66
maize	IN-20-2113	83.2	2.316
maize	IN-20-0061	334.7	7.159
maize	IN-20-2121	194.4	5.491
maize	IN-20-2119	66.3	2.734
maize	IN-20-2120	83.1	7.139
maize	IN-20-0060	363.2	16.249
maize	IN-20-2118	120.9	1.689
maize	IN-20-2105	49.2	2.243
maize	IN-20-2104	22.1	0.767
maize	IN-20-2106	9.7	0.535
maize	IN-20-0057	30.2	1.099
maize	IN-11-0083	6.8	0.152
maize	IN-11-0999	0	0.001
maize	IN-11-0087	2.4	0.051
maize	IN-11-0084	95.5	2.582
maize	IN-11-0506	8.8	0.196
maize	IN-11-0509	53	0.875
maize	IN-11-0507	17.7	0.345
maize	IN-11-0543	82.8	1.151
maize	IN-11-0094	3.7	0.222
maize	IN-11-0090	49.6	1.335
maize	IN-11-0093	0	0
maize	IN-11-0542	39.3	1.531
maize	IN-11-1023	12.3	0.358
maize	IN-11-0508	73.4	1.576
maize	IN-11-0085	11.5	0.189
maize	IN-11-0086	13.1	0.219
maize	IN-11-0512	34.4	0.81
maize	IN-11-1025	15.9	0.554
maize	IN-11-0092	169.3	2.527
maize	IN-11-0088	66.5	1.479
maize	IN-11-0521	73.3	1.186
maize	IN-11-0513	368.6	7.763
maize	IN-11-0510	93	2.19
maize	IN-11-1080	3.6	0.07
maize	IN-03-0121	680.9	9.39
maize	IN-10-0139	407.1	4.808
maize	IN-10-0140	697.4	8.321
maize	IN-14-2035	12.4	0.267
maize	IN-10-0141	864.5	19.182
maize	IN-10-0536	416.8	5.952
maize	IN-10-0142	64	0.225
maize	IN-10-0143	328.8	6.493
maize	IN-10-0144	1223.8	11.678
maize	IN-10-0145	166	0.549
maize	IN-05-1011	21.8	0.386
maize	IN-10-0147	784.4	10.044
maize	IN-10-0537	522.2	15.291
maize	IN-08-0704	0.8	0.017
maize	IN-10-0519	164	5.401
maize	IN-12-0206	228.5	10.475
maize	IN-12-0528	466.2	19.248
maize	IN-10-0539	391.2	4.031
maize	IN-10-0151	510.5	4.587
maize	IN-10-0152	26.3	0.069
maize	IN-10-0153	219.1	2.056
maize	IN-14-1059	9.4	0.209
maize	IN-10-0156	240.7	1.061
maize	IN-08-0706	15.2	0.193
maize	IN-10-1020	483.7	9.639
maize	IN-10-0150	612.8	5.608
maize	IN-10-0157	491.3	9.658
maize	IN-10-0158	252.7	1.42
maize	IN-14-2015	0.7	0.017
maize	IN-19-0658	13.8	0.308
maize	IN-10-0159	627.3	5.065
maize	IN-03-0134	293.8	8.95
maize	IN-10-2012	462.7	10.432
maize	IN-10-0538	299	6.462
maize	IN-03-0136	794.9	18.725
maize	IN-10-0160	421.2	8.384
maize	IN-12-0202	172.5	4
maize	IN-10-0161	446.7	5.783
maize	IN-10-0162	378.5	7.365
maize	IN-10-0163	377.5	5.249
maize	IN-10-0164	963.4	8.22
maize	IN-07-0102	156.8	0.918
maize	IN-07-0114	72.4	1.331
maize	IN-13-2060	1.4	0.051
maize	IN-07-0115	136	1.114
maize	IN-02-0920	485.4	14.67
maize	IN-07-0108	270.1	2.671
maize	IN-07-0119	9.3	0.225
maize	IN-07-0110	128.8	1.215
maize	IN-07-0113	155.6	1.597
maize	IN-07-0120	34.5	0.303
maize	IN-07-0100	180.2	2.508
maize	IN-04-0188	22.2	2.98
maize	IN-04-1007	154.2	6.103
maize	IN-07-0516	45.1	0.311
maize	IN-07-1072	13.9	0.268
maize	IN-07-1073	67.7	1.436
maize	IN-02-0934	121.1	12.911
maize	IN-07-0101	593.4	5.035
maize	IN-07-0514	142	1.85
maize	IN-07-0107	72.3	0.943
maize	IN-07-2027	0	0
maize	IN-13-0804	17.8	0.333
maize	IN-07-0118	97.3	0.983
maize	IN-07-0111	374.4	3.551
maize	IN-07-1074	119.2	2.003
maize	IN-07-0099	421.9	2.721
maize	IN-07-2059	19.1	0.362
maize	IN-07-0109	60.2	0.955
maize	IN-07-0103	82.5	0.527
maize	IN-07-0097	9.3	0.134
maize	IN-07-0098	10.1	0.121
maize	IN-07-0105	84.1	0.977
maize	IN-07-0104	60.6	0.579
maize	IN-07-0517	4.8	0.094
maize	IN-07-0106	169.6	1.142
maize	IN-07-1076	0	0.001
maize	IN-07-0096	25.6	0.6
maize	IN-07-0117	73.2	1.159
maize	IN-07-1075	163.5	3.184
maize	IN-07-0116	521.7	3.835
maize	IN-13-2061	1	0.031
maize	IN-11-0091	45.7	1.112
maize	IN-12-0193	40.1	4.394
maize	IN-10-0154	244.8	3.861
maize	IN-12-0201	68.1	3.492
maize	IN-07-0112	122.2	1.614
maize	IN-19-0652	1.3	0.043
maize	IN-08-0709	1.1	0.01
maize	IN-14-2042	15.9	0.292
maize	IN-19-0660	16.6	0.547
maize	IN-13-0806	1.5	0.033
maize	IN-09-0167	2.6	0.157
maize	IN-09-0170	9.2	0.669
maize	IN-09-0175	33.4	0.926
maize	IN-03-0124	108.3	2.195
maize	IN-03-0137	16.3	0.375
maize	IN-05-0549	1.3	0.055
maize	IN-05-0550	0.5	0.022
maize	IN-05-0071	20.4	0.283
maize	IN-16-0244	47	1.514
maize	IN-03-0130	335.8	5.465
maize	IN-05-0067	47.7	0.756
maize	IN-08-0721	2.7	0.071
maize	IN-05-0078	206.9	2.449
maize	IN-05-0066	14.3	0.135
maize	IN-02-0950	60.6	1.955
maize	IN-02-0925	4.7	0.117
maize	IN-02-0905	846.2	26.222
maize	IN-11-1077	57.3	2.959
maize	IN-11-1022	54.8	1.885
maize	IN-11-1024	78	4.441
maize	IN-11-0089	117.2	3.42
maize	IN-11-1026	94.6	4.178
maize	IN-11-2020	62.2	1.196
maize	IN-11-1027	10.4	0.322
maize	IN-10-0146	740	12.819
maize	IN-10-0148	148.8	1.075
maize	IN-10-0149	479.3	12.716
maize	IN-10-0155	602.7	10.181
maize	IN-07-0515	110.3	1.531
